가로등번호,위도,경도
1100026,35.86244061,128.6086914
1107005,35.86282621,128.6087868
1107004,35.86303804,128.6089917
1107001,35.86365218,128.6095883
1107002,35.86343875,128.6093771
1100025,35.85997619,128.6072895
1100020,35.86270885,128.6092144
1106019,35.86380329,128.6100985
1106018,35.86408086,128.6104576
1106008,35.86445122,128.6105705
1106017,35.86426942,128.6107116
1106016,35.86445877,128.6109699
1106009,35.8642464,128.610285
1106007,35.86464866,128.6108393
1138016,35.86634592,128.6086273
1063001,35.86477799,128.6103665
1063002,35.86516734,128.6105401
1106013,35.86503071,128.6117351
1106015,35.86464896,128.6112267
1106014,35.86484129,128.6114833
1106005,35.8650073,128.6113226
1106006,35.86481556,128.611064
1138017,35.8662638,128.6090327
1138019,35.86610282,128.6098232
1138020,35.86602969,128.6102
1138018,35.86617935,128.6094371
1106003,35.86540607,128.611827
1106004,35.8652013,128.6115807
1106012,35.86522793,128.6119867
1106011,35.86544084,128.6122182
1063007,35.86568167,128.6119052
1063005,35.86585655,128.611044
1063004,35.86582988,128.6108305
1063008,35.86613374,128.6109599
1063009,35.86645128,128.6111035
1138021,35.86595459,128.6105623
1106010,35.86565716,128.6124201
1106002,35.86559828,128.6120185
1105043,35.86593887,128.6125095
1105035,35.86646474,128.6125995
1063006,35.86575284,128.6115529
1105036,35.86614675,128.6124164
1106001,35.86589867,128.6122629
1105042,35.86622554,128.6126805
2262020,35.92268218,128.6410443
2262021,35.92240874,128.6410109
1105044,35.8658557,128.6126805
1105045,35.86616505,128.6128719
1105041,35.86652471,128.6128444
1105046,35.86646961,128.6130372
8145001,35.85993178,128.4635151
8145002,35.86019393,128.4636588
1063012,35.86754463,128.6115848
1063013,35.86790825,128.611751
1063011,35.8671411,128.6114049
1105034,35.86674412,128.6127366
6048004,35.84950763,128.6669859
6048003,35.84970754,128.6667235
6048002,35.84992559,128.666399
6048001,35.85010958,128.6661251
6047023,35.85029668,128.6658114
6174012,35.85112631,128.6651468
6174013,35.85131148,128.6648221
6174014,35.85149386,128.6645013
6174015,35.85166102,128.6642044
6174016,35.85185581,128.6638613
6174017,35.85205186,128.6635145
6174018,35.8522316,128.6631999
6174019,35.85240964,128.6628843
6047021,35.85070946,128.665087
6047020,35.85088466,128.6648119
6047019,35.85104127,128.6645359
6047018,35.85118872,128.6642737
6047017,35.85138648,128.6639262
6047016,35.85157071,128.6635992
6047015,35.85174602,128.6632873
6047010,35.85256212,128.6616129
6174020,35.85259964,128.6625428
6174021,35.85275651,128.6621985
6174022,35.85289562,128.6618286
6047013,35.85211641,128.6626346
6047012,35.85229633,128.6623123
6047011,35.85245607,128.6619643
6047009,35.85266404,128.6612456
6047007,35.85278408,128.6604955
6047008,35.85273886,128.6608725
6047005,35.85285025,128.6597139
6047002,35.85288091,128.6588313
6046013,35.85304967,128.6580494
6212030,35.87734684,128.6530944
6212029,35.87724757,128.6529732
6212028,35.87714304,128.6528544
6212022,35.87571308,128.6548822
6231015,35.86931099,128.6409412
6231014,35.86916209,128.6405114
6231013,35.86900991,128.6400601
6231012,35.86888186,128.6397008
6231011,35.86874847,128.6393178
6231010,35.86861744,128.6389341
6231009,35.86851196,128.6386358
6231007,35.86869681,128.6387233
6231008,35.86857873,128.6383831
6231006,35.86882745,128.6391022
6231005,35.86896627,128.6395075
6231003,35.86926848,128.6403853
6231004,35.8690873,128.6398581
6231002,35.86941738,128.6408211
6231001,35.86953508,128.6411615
6228003,35.87075806,128.6377585
6228002,35.87058479,128.6373845
6228001,35.87039014,128.6370162
6212027,35.8749075,128.655846
6212026,35.87506708,128.6556545
6212025,35.87522459,128.6554702
6212023,35.87555427,128.6550784
6212024,35.87539105,128.6552734
6004016,35.8735209,128.6400908
6004014,35.87311365,128.6394162
6190012,35.86912948,128.6377803
6190021,35.86690613,128.6386408
6204016,35.866127,128.638742
6204015,35.86621836,128.6384935
6204011,35.86674229,128.6370687
6204013,35.86649005,128.6377576
6204012,35.86658871,128.6374833
1133001,35.87285475,128.6114549
6266016,35.86487649,128.6171205
6266017,35.86502607,128.6170024
6266018,35.86528627,128.6169307
6266019,35.86534254,128.6169417
6266020,35.86549194,128.6170168
6266021,35.86559516,128.6171398
1133001,35.87313515,128.6114802
1133001,35.8730714,128.611301
1133001,35.87169913,128.6121886
1133001,35.87196253,128.6120779
1133001,35.87190272,128.6118962
1133001,35.8714068,128.6122963
1134001,35.87113815,128.6124037
1134001,35.87088859,128.6125042
1134001,35.87084461,128.6123278
1133001,35.8710799,128.6122334
1133001,35.87136136,128.6121223
1133001,35.87164521,128.6119972
1131001,35.86848913,128.613436
1131002,35.86853069,128.6134246
1131002,35.86850898,128.6133579
1131001,35.8685062,128.6133262
1131002,35.86790378,128.6133185
1131001,35.86790627,128.6134987
1131002,35.86794629,128.6135039
1131001,35.86798892,128.6135044
1131002,35.86803149,128.6135051
1131001,35.86807448,128.6135061
1131002,35.86811576,128.6135032
1131001,35.86815599,128.6135018
1131002,35.8681983,128.6134954
1131001,35.86824057,128.6134891
1131002,35.86828374,128.6134811
1131001,35.86832477,128.613476
1131002,35.86836469,128.6134698
1131001,35.86840628,128.6134583
1131002,35.86844784,128.6134469
6248010,35.83363418,128.678931
6248010,35.83363848,128.6788591
6248010,35.83364414,128.6787948
6248010,35.83364853,128.6787302
6248010,35.83365286,128.6786621
6248010,35.83365418,128.6785973
6248010,35.83365841,128.6785369
6248010,35.83366327,128.6784706
6248010,35.83366758,128.6783987
6248010,35.83367454,128.6783353
6248010,35.83367893,128.6782707
6248010,35.83368326,128.6782026
6248010,35.833686,128.6781308
6248010,35.83369023,128.6780703
6248010,35.83369509,128.6780041
6248010,35.83369939,128.6779322
6248010,35.83370205,128.6778705
6248010,35.83370644,128.6778059
6248010,35.83371077,128.6777378
6248010,35.83371496,128.6776713
6248010,35.83371919,128.6776109
6248010,35.83372405,128.6775446
6248010,35.83372835,128.6774727
6248010,35.83372996,128.6774041
6248010,35.83373471,128.6773447
6248010,35.83373905,128.6772767
6248010,35.83374323,128.677204
6248010,35.83374745,128.6771436
6248010,35.83375231,128.6770773
6248010,35.83375662,128.6770054
6248010,35.83354317,128.677856
6248010,35.83354756,128.6777914
6248010,35.83355189,128.6777233
6248010,35.83355608,128.6776568
6248010,35.83356031,128.6775963
6248010,35.83356516,128.6775301
6248010,35.83356947,128.6774582
6248010,35.83357145,128.6773948
6248010,35.83357583,128.6773302
6248010,35.83358017,128.6772621
6248010,35.83358434,128.6771895
6248010,35.83358857,128.6771291
6248010,35.83359342,128.6770628
6248010,35.83359773,128.6769909
6248010,35.8336237,128.6769908
6248010,35.8336194,128.6770627
